"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","67.04","66.41","67.71","65.84","147.83M","1.09%"
"09/01/2025","66.32","68.96","69.46","65.35","389.55M","-3.87%"
"08/01/2025","68.99","68.60","71.71","68.27","271.34M","1.62%"
"07/01/2025","67.89","70.99","72.45","67.74","358.55M","-4.04%"
"06/01/2025","70.75","72.03","72.68","68.78","325.01M","-1.87%"
"05/01/2025","72.10","72.00","72.68","68.58","305.53M","-0.62%"
"04/01/2025","72.55","71.68","74.38","66.05","408.24M","1.30%"
"03/01/2025","71.62","70.24","73.22","68.18","422.87M","0.58%"
"02/01/2025","71.21","63.18","71.77","62.35","346.11M","12.18%"
"01/01/2025","63.48","62.35","64.29","60.62","323.46M","1.96%"
"12/01/2024","62.26","64.05","64.19","61.53","391.14M","-2.84%"
"11/01/2024","64.08","65.47","65.66","61.39","332.06M","-1.88%"
"10/01/2024","65.31","72.10","72.75","65.25","295.55M","-9.11%"
"09/01/2024","71.86","72.44","73.53","70.38","306.27M","-0.84%"
"08/01/2024","72.47","67.00","72.57","66.70","311.24M","8.59%"
"07/01/2024","66.74","64.03","67.83","62.28","257.59M","4.85%"
"06/01/2024","63.65","62.71","64.36","61.94","222.37M","1.14%"
"05/01/2024","62.93","61.80","63.76","61.07","238.75M","1.88%"
"04/01/2024","61.77","61.18","62.83","57.93","300.61M","0.96%"
"03/01/2024","61.18","59.90","61.43","58.97","287.62M","1.93%"
"02/01/2024","60.02","59.57","61.62","58.79","284.36M","0.89%"
"01/01/2024","59.49","58.80","60.46","58.66","293.89M","0.95%"
"12/01/2023","58.93","58.27","60.04","57.47","313.53M","0.84%"
"11/01/2023","58.44","56.80","58.83","56.06","274.97M","3.45%"
"10/01/2023","56.49","55.91","56.72","51.55","387.97M","0.91%"
"09/01/2023","55.98","60.00","60.13","55.62","310.42M","-6.43%"
"08/01/2023","59.83","62.09","62.58","59.81","204.58M","-3.39%"
"07/01/2023","61.93","60.20","63.26","58.84","256.31M","2.84%"
"06/01/2023","60.22","59.94","62.17","59.76","320.45M","0.94%"
"05/01/2023","59.66","64.15","64.69","59.37","295.75M","-7.00%"
"04/01/2023","64.15","62.30","64.99","61.86","213.35M","3.42%"
"03/01/2023","62.03","59.13","62.25","58.37","335.47M","4.23%"
"02/01/2023","59.51","61.14","61.58","58.88","265.89M","-2.95%"
"01/01/2023","61.32","63.56","63.72","59.40","260.74M","-3.60%"
"12/01/2022","63.61","63.61","64.70","62.33","245.99M","0.00%"
"11/01/2022","63.61","60.03","63.68","58.10","269.99M","6.28%"
"10/01/2022","59.85","56.36","60.91","54.01","325.96M","6.84%"
"09/01/2022","56.02","61.58","62.88","55.91","317.56M","-9.22%"
"08/01/2022","61.71","64.09","65.47","61.70","223.18M","-3.83%"
"07/01/2022","64.17","63.12","64.45","60.79","275.81M","2.00%"
"06/01/2022","62.91","63.42","63.77","58.25","353.20M","-0.74%"
"05/01/2022","63.38","65.28","66.38","59.66","459.88M","-1.90%"
"04/01/2022","64.61","62.33","67.20","61.72","319.60M","4.21%"
"03/01/2022","62.00","62.14","63.02","57.50","426.93M","-0.39%"
"02/01/2022","62.24","60.91","62.90","59.22","396.00M","2.02%"
"01/01/2022","61.01","58.82","61.45","58.38","407.92M","3.04%"
"12/01/2021","59.21","52.98","59.35","52.28","426.82M","12.89%"
"11/01/2021","52.45","56.39","57.16","52.44","286.68M","-6.95%"
"10/01/2021","56.37","52.78","56.47","52.40","331.81M","7.43%"
"09/01/2021","52.47","56.38","57.03","52.43","334.51M","-6.82%"
"08/01/2021","56.31","57.20","57.56","55.45","220.34M","-1.26%"
"07/01/2021","57.03","54.34","57.56","53.55","293.39M","5.40%"
"06/01/2021","54.11","55.34","56.48","53.72","305.86M","-2.13%"
"05/01/2021","55.29","54.27","55.71","53.61","309.91M","2.43%"
"04/01/2021","53.98","52.96","54.87","52.29","270.81M","2.41%"
"03/01/2021","52.71","49.44","53.94","49.40","452.19M","7.59%"
"02/01/2021","48.99","48.27","51.51","48.18","301.08M","1.74%"
"01/01/2021","48.15","54.27","54.63","48.11","457.22M","-12.20%"
"12/01/2020","54.84","52.14","54.93","51.63","303.49M","6.28%"
"11/01/2020","51.60","48.75","54.62","48.24","339.34M","7.37%"
"10/01/2020","48.06","49.44","51.53","47.30","292.20M","-2.65%"
"09/01/2020","49.37","49.31","52.14","47.56","341.64M","-0.32%"
"08/01/2020","49.53","47.14","50.07","46.22","252.19M","4.85%"
"07/01/2020","47.24","44.93","49.28","43.83","369.31M","5.73%"
"06/01/2020","44.68","46.66","49.97","43.51","399.21M","-4.28%"
"05/01/2020","46.68","45.62","47.46","43.20","382.79M","1.72%"
"04/01/2020","45.89","42.48","49.73","41.80","395.22M","3.71%"
"03/01/2020","44.25","53.93","59.00","36.27","693.45M","-17.27%"
"02/01/2020","53.49","58.75","60.13","51.58","245.61M","-8.41%"
"01/01/2020","58.40","55.32","59.08","54.09","286.37M","5.51%"
"12/01/2019","55.35","53.32","55.44","52.85","233.76M","3.65%"
"11/01/2019","53.40","54.63","54.74","51.58","226.31M","-1.89%"
"10/01/2019","54.43","54.53","55.39","52.82","250.03M","-0.02%"
"09/01/2019","54.44","54.98","55.92","53.63","219.21M","-1.09%"
"08/01/2019","55.04","52.78","55.34","51.40","271.99M","4.58%"
"07/01/2019","52.63","51.07","54.82","50.78","257.70M","3.36%"
"06/01/2019","50.92","49.16","52.20","49.02","248.59M","3.64%"
"05/01/2019","49.13","48.95","49.90","47.07","258.27M","0.14%"
"04/01/2019","49.06","46.99","49.18","46.03","238.02M","4.69%"
"03/01/2019","46.86","45.47","46.92","44.61","363.96M","3.35%"
"02/01/2019","45.34","48.48","49.94","44.42","388.57M","-5.80%"
"01/01/2019","48.13","46.94","48.78","46.34","290.75M","1.65%"
"12/01/2018","47.35","49.87","50.51","45.66","308.10M","-6.05%"
"11/01/2018","50.40","47.81","50.84","47.29","279.96M","5.26%"
"10/01/2018","47.88","46.17","48.08","44.25","326.36M","3.66%"
"09/01/2018","46.19","44.60","46.69","44.51","193.54M","3.63%"
"08/01/2018","44.57","46.45","46.87","44.39","231.16M","-4.42%"
"07/01/2018","46.63","43.78","46.67","43.58","208.15M","6.32%"
"06/01/2018","43.86","43.10","44.52","42.96","260.41M","2.00%"
"05/01/2018","43.00","42.96","43.28","41.45","252.95M","-0.49%"
"04/01/2018","43.21","43.44","45.03","41.90","257.15M","-0.51%"
"03/01/2018","43.43","43.10","45.09","42.25","278.78M","0.49%"
"02/01/2018","43.22","47.41","47.73","42.19","292.81M","-9.18%"
"01/01/2018","47.59","45.91","48.62","45.34","256.42M","3.73%"
"12/01/2017","45.88","45.80","46.48","44.92","207.95M","0.24%"
"11/01/2017","45.77","45.75","47.48","45.03","217.68M","-0.46%"
"10/01/2017","45.98","45.05","46.79","44.74","192.36M","2.16%"
"09/01/2017","45.01","45.64","46.98","44.38","198.00M","-1.19%"
"08/01/2017","45.55","45.97","46.34","45.25","208.67M","-0.63%"
"07/01/2017","45.84","45.11","46.42","44.15","195.37M","2.21%"
"06/01/2017","44.85","45.45","46.06","44.65","241.61M","-1.36%"
"05/01/2017","45.47","43.15","45.70","43.10","250.59M","5.38%"
"04/01/2017","43.15","42.58","43.79","42.27","232.47M","1.67%"
"03/01/2017","42.44","42.01","42.70","41.74","339.19M","1.14%"
