"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","68.65","74.54","76.95","64.88","211.78M","-1.55%"
"09/01/2025","69.73","75.64","76.05","68.03","302.86M","-9.87%"
"08/01/2025","77.37","73.44","80.17","72.53","189.00M","3.59%"
"07/01/2025","74.69","71.99","79.99","71.03","323.79M","5.14%"
"06/01/2025","71.04","60.05","74.19","59.19","413.34M","17.25%"
"05/01/2025","60.59","56.68","63.75","56.26","316.70M","7.43%"
"04/01/2025","56.40","63.83","65.40","52.28","574.28M","-11.15%"
"03/01/2025","63.48","79.99","80.96","62.65","365.17M","-20.08%"
"02/01/2025","79.43","74.90","82.44","68.62","287.27M","3.29%"
"01/01/2025","76.90","76.25","78.86","70.32","244.25M","1.63%"
"12/01/2024","75.67","77.92","81.18","74.55","276.32M","-3.94%"
"11/01/2024","78.77","77.05","79.86","72.71","209.97M","2.13%"
"10/01/2024","77.13","88.00","89.64","75.20","266.03M","-12.75%"
"09/01/2024","88.40","82.71","90.62","76.74","256.01M","6.10%"
"08/01/2024","83.32","74.70","85.43","70.75","250.75M","11.30%"
"07/01/2024","74.86","75.50","77.06","70.91","395.93M","-0.68%"
"06/01/2024","75.37","94.52","98.04","74.55","306.54M","-20.70%"
"05/01/2024","95.05","91.81","95.07","90.09","195.70M","3.02%"
"04/01/2024","92.26","93.81","96.22","88.77","200.14M","-1.83%"
"03/01/2024","93.98","103.87","103.94","91.72","228.71M","-9.57%"
"02/01/2024","103.93","101.90","107.43","99.05","158.03M","2.36%"
"01/01/2024","101.53","107.61","107.85","99.67","188.42M","-6.48%"
"12/01/2023","108.57","110.33","123.39","106.81","218.56M","-1.54%"
"11/01/2023","110.27","102.55","112.15","99.97","154.35M","7.30%"
"10/01/2023","102.77","96.20","105.65","93.73","192.28M","7.48%"
"09/01/2023","95.62","101.97","102.96","88.66","193.19M","-5.99%"
"08/01/2023","101.71","110.00","111.95","96.54","159.47M","-7.86%"
"07/01/2023","110.39","111.06","111.30","103.67","135.39M","0.02%"
"06/01/2023","110.37","104.18","114.76","102.90","216.67M","4.85%"
"05/01/2023","105.26","126.92","128.68","104.83","166.78M","-16.93%"
"04/01/2023","126.72","122.50","127.49","117.85","81.95M","3.33%"
"03/01/2023","122.64","117.95","126.06","115.79","156.97M","3.24%"
"02/01/2023","118.79","127.90","131.31","117.34","101.18M","-6.71%"
"01/01/2023","127.33","118.55","129.23","117.44","135.01M","8.82%"
"12/01/2022","117.01","110.09","119.18","101.68","194.18M","6.67%"
"11/01/2022","109.69","95.69","109.69","88.72","157.35M","18.35%"
"10/01/2022","92.68","83.13","94.35","82.22","200.88M","11.50%"
"09/01/2022","83.12","105.80","113.36","82.50","206.30M","-21.92%"
"08/01/2022","106.45","114.00","118.47","105.81","127.47M","-7.37%"
"07/01/2022","114.92","101.64","115.21","99.53","136.29M","12.45%"
"06/01/2022","102.20","119.83","123.82","100.78","172.76M","-14.01%"
