"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","150.73","141.05","152.39","138.63","87.32M","7.32%"
"09/01/2025","140.44","157.44","157.80","139.12","169.08M","-5.52%"
"08/01/2025","148.65","139.10","154.61","138.29","161.78M","7.78%"
"07/01/2025","137.92","132.59","147.03","132.47","214.13M","4.45%"
"06/01/2025","132.04","130.90","133.06","127.60","223.95M","0.45%"
"05/01/2025","131.45","134.46","134.81","127.75","177.48M","-3.05%"
"04/01/2025","135.58","150.49","154.92","131.52","188.33M","-9.58%"
"03/01/2025","149.94","151.35","160.15","144.75","156.04M","-2.30%"
"02/01/2025","153.47","149.76","158.46","141.60","147.47M","1.84%"
"01/01/2025","150.69","152.88","155.47","141.51","131.46M","-0.90%"
"12/01/2024","152.06","163.32","163.65","149.71","142.27M","-6.97%"
"11/01/2024","163.45","166.09","167.96","155.85","112.32M","-1.58%"
"10/01/2024","166.08","171.29","177.50","165.81","120.69M","-2.33%"
"09/01/2024","170.05","172.38","179.73","168.68","116.12M","-1.64%"
"08/01/2024","172.88","172.53","180.91","169.81","110.08M","0.12%"
"07/01/2024","172.67","165.04","174.69","158.03","121.80M","4.69%"
"06/01/2024","164.93","172.72","174.40","161.54","108.45M","-4.61%"
"05/01/2024","172.90","175.46","183.41","169.52","93.84M","-1.71%"
"04/01/2024","175.91","175.57","180.63","166.03","119.48M","0.51%"
"03/01/2024","175.01","164.86","175.81","161.81","128.19M","5.85%"
"02/01/2024","165.34","168.53","174.10","164.91","124.36M","-1.89%"
"01/01/2024","168.53","169.52","175.20","164.36","109.95M","-0.77%"
"12/01/2023","169.84","168.37","172.05","165.27","107.26M","0.92%"
"11/01/2023","168.29","163.67","170.02","162.76","104.62M","3.07%"
"10/01/2023","163.28","169.08","170.00","155.83","144.92M","-3.64%"
"09/01/2023","169.44","178.73","181.82","168.04","95.83M","-4.77%"
"08/01/2023","177.92","187.49","189.97","175.31","92.40M","-5.09%"
"07/01/2023","187.46","184.30","192.38","182.41","110.39M","1.21%"
"06/01/2023","185.22","182.42","188.00","179.33","100.95M","1.57%"
"05/01/2023","182.35","190.45","196.88","180.70","105.80M","-4.47%"
"04/01/2023","190.89","181.90","191.62","180.40","69.88M","4.71%"
"03/01/2023","182.30","172.32","182.49","169.12","107.27M","5.05%"
"02/01/2023","173.53","170.88","178.23","167.05","97.12M","1.47%"
"01/01/2023","171.02","180.59","182.77","167.46","91.59M","-5.34%"
"12/01/2022","180.66","185.48","186.84","178.39","96.73M","-2.61%"
"11/01/2022","185.51","180.94","186.62","175.42","97.99M","2.16%"
"10/01/2022","181.58","163.52","182.98","160.98","115.07M","11.22%"
"09/01/2022","163.26","170.92","174.97","163.01","113.61M","-5.23%"
"08/01/2022","172.27","174.55","181.07","172.20","83.53M","-1.54%"
"07/01/2022","174.96","166.74","175.48","165.33","82.18M","4.98%"
"06/01/2022","166.66","168.18","168.45","154.86","108.85M","-0.65%"
"05/01/2022","167.75","172.99","176.30","159.62","135.30M","-2.31%"
"04/01/2022","171.71","167.89","177.62","167.37","93.85M","2.59%"
"03/01/2022","167.38","163.07","169.30","153.37","127.10M","2.22%"
"02/01/2022","163.74","173.15","176.66","160.29","114.61M","-5.64%"
"01/01/2022","173.52","172.20","177.24","166.45","117.69M","-0.11%"
"12/01/2021","173.71","162.47","174.01","159.83","101.57M","8.72%"
"11/01/2021","159.78","161.20","166.80","158.39","81.36M","-1.13%"
"10/01/2021","161.60","151.35","162.26","149.48","83.99M","7.44%"
"09/01/2021","150.41","156.84","158.19","150.10","83.66M","-3.82%"
"08/01/2021","156.39","157.00","159.63","153.64","75.27M","-0.36%"
"07/01/2021","156.95","148.08","158.66","147.77","95.67M","5.93%"
"06/01/2021","148.17","148.78","149.27","144.61","107.46M","0.16%"
"05/01/2021","147.94","145.03","148.77","143.49","100.66M","2.62%"
"04/01/2021","144.16","141.19","147.80","140.11","110.12M","1.92%"
"03/01/2021","141.45","130.61","144.96","128.32","161.74M","9.49%"
"02/01/2021","129.19","136.98","142.12","128.57","96.05M","-5.40%"
"01/01/2021","136.57","147.01","147.78","136.01","94.59M","-7.91%"
"12/01/2020","148.30","145.03","148.77","143.02","79.88M","2.82%"
"11/01/2020","144.23","135.61","146.57","133.78","73.56M","8.21%"
"10/01/2020","133.29","139.44","144.11","131.71","88.55M","-3.83%"
"09/01/2020","138.60","140.25","144.04","129.36","104.38M","-1.04%"
"08/01/2020","140.06","137.11","141.02","134.62","69.20M","1.74%"
"07/01/2020","137.66","132.53","139.00","131.28","95.68M","4.08%"
"06/01/2020","132.26","131.60","135.16","126.53","119.99M","0.54%"
"05/01/2020","131.55","131.12","137.99","128.58","127.01M","-0.56%"
"04/01/2020","132.29","117.27","138.63","115.67","115.32M","10.15%"
"03/01/2020","120.10","132.00","142.71","101.42","219.28M","-9.04%"
"02/01/2020","132.03","142.77","147.20","128.35","94.69M","-7.03%"
"01/01/2020","142.02","136.87","144.65","133.95","89.71M","3.91%"
"12/01/2019","136.67","136.65","138.25","134.32","82.81M","0.62%"
"11/01/2019","135.83","137.55","138.34","131.59","64.71M","-0.98%"
"10/01/2019","137.17","136.93","140.45","133.49","83.31M","0.05%"
"09/01/2019","137.10","136.35","139.18","134.10","78.85M","0.27%"
"08/01/2019","136.73","128.96","137.11","123.88","95.55M","6.98%"
"07/01/2019","127.81","131.99","135.24","126.24","96.38M","-2.53%"
"06/01/2019","131.13","127.86","135.24","127.49","88.69M","2.45%"
"05/01/2019","128.00","127.85","130.90","124.85","88.15M","-0.04%"
"04/01/2019","128.05","122.59","128.39","120.74","86.63M","4.49%"
"03/01/2019","122.55","115.86","123.19","114.26","125.32M","5.98%"
"02/01/2019","115.64","112.95","117.30","111.45","96.89M","2.64%"
"01/01/2019","112.67","109.15","112.90","106.73","115.73M","1.98%"
"12/01/2018","110.48","120.48","120.91","105.03","115.12M","-9.40%"
"11/01/2018","121.94","112.00","122.00","109.63","90.37M","8.51%"
"10/01/2018","112.38","112.15","114.23","104.53","119.83M","0.52%"
"09/01/2018","111.80","111.82","115.52","110.45","75.02M","-0.19%"
"08/01/2018","112.01","114.42","118.44","110.89","97.86M","-2.60%"
"07/01/2018","115.00","108.70","116.90","107.52","148.07M","5.63%"
"06/01/2018","108.87","100.54","109.59","99.65","112.80M","8.60%"
"05/01/2018","100.25","100.36","102.24","95.94","127.11M","-0.68%"
"04/01/2018","100.94","108.62","111.18","100.58","98.25M","-7.52%"
"03/01/2018","109.15","109.21","113.90","105.94","97.49M","-0.53%"
"02/01/2018","109.73","119.92","121.01","107.94","97.28M","-8.79%"
"01/01/2018","120.30","119.93","122.51","116.38","88.47M","0.32%"
"12/01/2017","119.92","116.50","120.57","115.04","70.08M","2.92%"
"11/01/2017","116.52","109.76","117.38","109.15","69.17M","5.71%"
"10/01/2017","110.23","109.91","113.63","106.19","85.60M","-1.08%"
"09/01/2017","111.43","115.38","117.29","110.34","79.76M","-3.72%"
"08/01/2017","115.73","116.69","119.39","114.91","66.93M","-0.75%"
"07/01/2017","116.61","115.55","118.06","112.25","70.47M","0.97%"
"06/01/2017","115.49","116.80","118.24","114.89","74.53M","-1.18%"
"05/01/2017","116.87","112.93","118.12","111.70","72.41M","3.17%"
"04/01/2017","113.28","111.95","114.61","111.34","68.47M","1.27%"
"03/01/2017","111.86","109.60","112.76","108.47","93.14M","1.34%"
"02/01/2017","110.38","103.61","110.60","102.98","81.77M","6.36%"
"01/01/2017","103.78","104.94","105.63","101.06","83.32M","-0.81%"
"12/01/2016","104.63","99.89","106.53","98.50","85.98M","4.53%"
"11/01/2016","100.10","107.14","108.93","100.10","106.27M","-6.62%"
"10/01/2016","107.20","108.77","108.83","105.00","87.40M","-1.44%"
"09/01/2016","108.77","106.46","109.71","104.05","90.97M","1.89%"
"08/01/2016","106.75","108.72","109.36","106.26","67.34M","-1.99%"
"07/01/2016","108.92","106.23","110.94","105.38","92.30M","2.81%"
"06/01/2016","105.94","100.56","106.00","100.30","97.40M","4.71%"
"05/01/2016","101.17","102.74","106.94","100.00","93.11M","-1.74%"
"04/01/2016","102.96","101.97","105.77","100.42","101.32M","0.47%"
"03/01/2016","102.48","98.50","103.45","97.54","104.78M","4.76%"
"02/01/2016","97.82","98.53","100.70","96.09","97.37M","-1.49%"
"01/01/2016","99.30","98.56","99.85","93.25","112.03M","-0.62%"
"12/01/2015","99.92","100.11","101.70","96.81","92.38M","-0.24%"
"11/01/2015","100.16","102.14","102.58","97.65","76.12M","-1.99%"
"10/01/2015","102.19","94.20","103.44","92.53","111.26M","8.37%"
"09/01/2015","94.30","91.12","94.40","90.43","103.75M","1.47%"
"08/01/2015","92.93","96.19","100.61","76.48","112.97M","-3.55%"
"07/01/2015","96.35","93.80","97.49","93.55","107.16M","3.22%"
"06/01/2015","93.34","96.59","96.59","92.54","91.64M","-3.20%"
"05/01/2015","96.43","95.16","98.44","94.76","77.54M","1.38%"
"04/01/2015","95.12","95.16","97.64","93.25","95.86M","-0.52%"
"03/01/2015","95.62","98.90","99.30","92.24","111.30M","-3.39%"
"02/01/2015","98.98","93.86","100.76","93.60","101.09M","5.54%"
"01/01/2015","93.78","94.93","99.00","92.94","112.26M","-0.82%"
"12/01/2014","94.56","98.56","100.57","92.43","94.41M","-5.53%"
"11/01/2014","100.10","95.94","100.70","95.50","75.41M","4.09%"
