"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","33.40","34.65","35.10","32.78","64.42M","-3.08%"
"09/01/2025","34.46","34.77","35.88","33.69","141.69M","-2.19%"
"08/01/2025","35.23","32.04","35.42","31.58","164.92M","9.58%"
"07/01/2025","32.15","30.13","33.06","29.95","160.74M","7.42%"
"06/01/2025","29.93","29.63","32.94","28.83","251.27M","2.85%"
"05/01/2025","29.10","27.47","30.82","27.30","222.65M","5.97%"
"04/01/2025","27.46","33.54","33.89","25.22","272.70M","-18.73%"
"03/01/2025","33.79","33.34","34.95","30.99","253.72M","2.02%"
"02/01/2025","33.12","30.72","35.54","30.37","287.27M","6.63%"
"01/01/2025","31.06","29.70","32.19","29.69","189.58M","5.07%"
"12/01/2024","29.56","29.15","30.46","28.14","187.30M","0.85%"
"11/01/2024","29.31","29.68","30.50","27.82","215.47M","-0.17%"
"10/01/2024","29.36","31.35","33.29","29.00","209.22M","-6.47%"
"09/01/2024","31.39","33.00","33.20","30.52","179.66M","-7.57%"
"08/01/2024","33.96","35.41","35.46","32.51","132.84M","-4.04%"
"07/01/2024","35.39","36.25","37.39","34.38","164.57M","-1.97%"
"06/01/2024","36.10","37.30","37.31","34.71","129.31M","-3.91%"
"05/01/2024","37.57","38.43","39.48","36.33","172.23M","-3.10%"
"04/01/2024","38.77","37.86","40.40","37.29","262.68M","2.89%"
"03/01/2024","37.68","35.43","38.47","35.31","138.00M","7.69%"
"02/01/2024","34.99","35.42","36.67","33.93","200.84M","-0.31%"
"01/01/2024","35.10","35.64","36.48","33.52","192.58M","-0.85%"
"12/01/2023","35.40","36.08","36.48","34.25","145.44M","-2.45%"
"11/01/2023","36.29","36.29","36.94","34.46","183.53M","-0.79%"
"10/01/2023","36.58","38.71","40.84","35.84","210.71M","-5.53%"
"09/01/2023","38.72","38.08","39.73","37.83","181.83M","4.14%"
"08/01/2023","37.18","37.56","37.78","35.53","144.63M","-0.32%"
"07/01/2023","37.30","36.04","37.37","34.40","145.68M","5.70%"
"06/01/2023","35.29","34.16","35.92","34.06","154.79M","4.69%"
"05/01/2023","33.71","39.98","40.42","33.62","209.96M","-16.31%"
"04/01/2023","40.28","39.87","40.69","39.01","136.80M","6.17%"
"03/01/2023","37.94","39.76","40.55","34.14","210.57M","-4.19%"
"02/01/2023","39.60","36.51","41.38","34.28","251.49M","9.30%"
"01/01/2023","36.23","35.00","36.60","33.53","157.96M","3.72%"
"12/01/2022","34.93","35.99","36.10","33.14","151.42M","-2.70%"
