"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","151.67","155.02","156.58","148.90","67.04M","-2.33%"
"09/01/2025","155.29","160.48","161.86","152.88","163.26M","-3.31%"
"08/01/2025","160.60","152.54","161.10","149.82","168.12M","5.91%"
"07/01/2025","151.64","143.34","157.21","142.51","267.35M","5.90%"
"06/01/2025","143.19","138.49","152.15","136.43","194.43M","4.75%"
"05/01/2025","136.70","135.42","143.71","133.77","178.83M","0.47%"
"04/01/2025","136.06","167.29","168.60","132.04","241.61M","-18.67%"
"03/01/2025","167.29","159.46","168.96","147.74","198.73M","5.47%"
"02/01/2025","158.62","149.00","158.99","147.80","124.73M","6.32%"
"01/01/2025","149.19","145.48","161.77","145.48","160.88M","3.00%"
"12/01/2024","144.84","162.29","163.20","140.55","198.42M","-10.55%"
"11/01/2024","161.93","152.48","164.68","151.70","154.47M","8.81%"
"10/01/2024","148.82","146.35","152.75","145.45","141.45M","1.05%"
"09/01/2024","147.27","145.55","149.10","135.37","170.34M","-0.46%"
"08/01/2024","147.95","158.71","159.50","139.69","167.72M","-7.80%"
"07/01/2024","160.47","157.16","164.28","152.30","131.09M","2.59%"
"06/01/2024","156.42","161.49","161.68","151.93","150.49M","-3.62%"
"05/01/2024","162.30","160.78","166.91","156.33","150.14M","0.64%"
"04/01/2024","161.27","158.27","167.11","155.42","166.21M","2.24%"
"03/01/2024","157.74","153.05","158.19","147.67","175.20M","3.77%"
"02/01/2024","152.01","148.19","156.63","146.52","163.44M","3.11%"
"01/01/2024","147.43","149.99","154.35","139.62","196.85M","-1.16%"
"12/01/2023","149.16","143.49","153.06","140.99","222.84M","3.87%"
"11/01/2023","143.60","145.98","149.33","140.72","229.12M","-1.46%"
"10/01/2023","145.73","168.34","170.17","143.96","225.46M","-13.57%"
"09/01/2023","168.62","162.64","171.70","162.64","153.22M","4.67%"
"08/01/2023","161.10","163.64","164.25","156.22","165.28M","-1.56%"
"07/01/2023","163.66","157.18","164.04","151.63","137.36M","4.01%"
"06/01/2023","157.35","151.30","160.77","149.74","181.31M","4.47%"
"05/01/2023","150.62","167.71","168.73","150.36","164.37M","-10.65%"
"04/01/2023","168.58","169.80","172.88","164.05","130.96M","3.32%"
"03/01/2023","163.16","160.92","166.80","149.91","205.95M","1.49%"
"02/01/2023","160.77","173.31","174.39","158.91","165.05M","-7.61%"
"01/01/2023","174.02","178.04","187.81","170.85","181.80M","-3.05%"
"12/01/2022","179.49","184.26","184.55","167.10","159.62M","-2.08%"
"11/01/2022","183.31","183.87","189.68","175.82","161.69M","1.33%"
"10/01/2022","180.90","148.97","183.84","148.30","177.68M","25.91%"
"09/01/2022","143.67","156.48","164.53","140.46","224.05M","-9.10%"
"08/01/2022","158.06","161.18","166.83","149.02","185.49M","-3.49%"
"07/01/2022","163.78","146.60","164.66","132.54","174.44M","13.12%"
"06/01/2022","144.78","176.73","182.40","140.15","251.81M","-17.11%"
"05/01/2022","174.66","156.31","180.96","155.15","235.07M","11.48%"
"04/01/2022","156.67","162.78","174.54","151.36","200.23M","-3.78%"
"03/01/2022","162.83","145.01","174.76","144.70","527.49M","13.08%"
"02/01/2022","144.00","130.83","144.00","130.51","282.88M","9.65%"
"01/01/2022","131.33","117.42","137.00","117.29","300.84M","11.91%"
"12/01/2021","117.35","114.95","119.34","110.73","221.15M","3.97%"
"11/01/2021","112.87","115.03","118.08","111.10","225.32M","-1.41%"
"10/01/2021","114.49","102.21","115.29","101.88","211.81M","12.85%"
"09/01/2021","101.45","96.86","104.89","93.31","250.50M","4.84%"
"08/01/2021","96.77","102.08","103.98","92.86","213.43M","-4.95%"
"07/01/2021","101.81","106.95","107.10","94.52","205.70M","-2.80%"
"06/01/2021","104.74","105.30","110.51","102.91","224.06M","0.92%"
"05/01/2021","103.79","103.98","113.11","101.97","209.44M","0.70%"
"04/01/2021","103.07","105.26","107.65","100.14","175.18M","-1.64%"
"03/01/2021","104.79","102.46","112.70","100.69","304.18M","4.79%"
"02/01/2021","100.00","85.99","104.96","84.57","203.36M","17.37%"
"01/01/2021","85.20","85.15","96.32","83.89","197.56M","0.89%"
"12/01/2020","84.45","89.28","94.56","83.53","224.80M","-3.13%"
"11/01/2020","87.18","70.70","95.82","69.40","241.66M","25.44%"
"10/01/2020","69.50","71.51","76.09","65.16","251.17M","-3.47%"
"09/01/2020","72.00","83.26","84.49","70.50","256.44M","-14.21%"
"08/01/2020","83.93","83.98","93.01","83.51","173.51M","-0.01%"
"07/01/2020","83.94","89.28","92.74","81.51","181.48M","-5.93%"
"06/01/2020","89.23","90.94","103.59","86.18","206.23M","-2.69%"
"05/01/2020","91.70","91.51","95.56","86.02","206.93M","-0.33%"
"04/01/2020","92.00","69.51","95.74","67.61","302.95M","26.97%"
"03/01/2020","72.46","94.02","99.02","51.60","475.95M","-22.37%"
"02/01/2020","93.34","106.95","112.60","90.11","158.47M","-12.88%"
"01/01/2020","107.14","120.81","122.72","106.39","154.42M","-11.09%"
"12/01/2019","120.51","117.98","121.42","115.70","120.91M","2.89%"
"11/01/2019","117.13","115.49","122.94","114.02","119.89M","0.85%"
"10/01/2019","116.14","119.27","119.51","110.42","113.05M","-2.07%"
"09/01/2019","118.60","115.77","125.27","114.55","124.07M","0.75%"
"08/01/2019","117.72","122.00","123.89","114.35","132.53M","-4.38%"
"07/01/2019","123.11","125.36","127.00","122.33","99.53M","-1.07%"
"06/01/2019","124.44","114.70","126.20","114.47","112.77M","9.30%"
"05/01/2019","113.85","119.80","122.49","113.72","174.98M","-5.17%"
"04/01/2019","120.06","123.87","127.34","115.65","221.27M","-2.53%"
"03/01/2019","123.18","120.39","126.92","119.20","126.23M","3.01%"
"02/01/2019","119.58","116.65","121.29","115.92","113.78M","4.30%"
"01/01/2019","114.65","107.34","115.41","107.10","139.16M","5.39%"
"12/01/2018","108.79","120.77","122.43","100.22","169.68M","-8.53%"
"11/01/2018","118.94","111.76","121.87","110.10","151.56M","6.53%"
"10/01/2018","111.65","123.11","127.60","107.54","152.34M","-8.69%"
"09/01/2018","122.28","118.93","124.24","113.39","112.66M","3.22%"
"08/01/2018","118.46","125.31","125.92","117.09","113.56M","-6.19%"
"07/01/2018","126.27","125.28","128.55","119.67","105.55M","-0.13%"
"06/01/2018","126.43","125.49","128.38","121.55","136.40M","1.71%"
"05/01/2018","124.30","124.03","131.08","120.06","147.86M","-0.65%"
"04/01/2018","125.11","113.89","127.90","110.54","143.11M","9.71%"
"03/01/2018","114.04","111.53","118.35","109.83","144.39M","1.89%"
"02/01/2018","111.92","125.60","125.63","108.02","170.30M","-10.71%"
"01/01/2018","125.35","125.71","133.88","124.05","130.29M","0.13%"
"12/01/2017","125.19","119.81","126.20","118.52","105.26M","5.21%"
"11/01/2017","118.99","116.30","119.15","113.90","101.84M","2.67%"
"10/01/2017","115.89","116.42","120.89","112.57","113.31M","-1.37%"
"09/01/2017","117.50","107.68","118.33","107.51","109.67M","9.18%"
"08/01/2017","107.62","109.54","111.44","105.30","109.28M","-1.44%"
"07/01/2017","109.19","104.24","110.00","102.55","105.29M","4.66%"
"06/01/2017","104.33","103.69","108.49","102.55","126.63M","0.82%"
"05/01/2017","103.48","106.26","107.71","103.07","118.56M","-3.02%"
"04/01/2017","106.70","107.22","110.67","103.83","101.52M","-0.62%"
"03/01/2017","107.37","112.92","114.39","105.82","164.75M","-4.56%"
"02/01/2017","112.50","111.20","114.28","109.27","123.28M","1.03%"
"01/01/2017","111.35","118.38","119.00","110.72","123.83M","-5.40%"
"12/01/2016","117.70","112.79","119.00","112.21","134.51M","5.50%"
"11/01/2016","111.56","105.51","112.98","104.25","169.98M","6.50%"
"10/01/2016","104.75","102.55","105.46","99.61","138.66M","1.78%"
"09/01/2016","102.92","100.35","104.35","97.53","151.32M","2.33%"
"08/01/2016","100.58","101.33","103.60","97.91","132.68M","-1.85%"
"07/01/2016","102.48","104.78","107.58","99.85","134.62M","-2.24%"
"06/01/2016","104.83","100.24","105.00","98.77","152.21M","3.79%"
"05/01/2016","101.00","101.83","103.85","98.52","130.88M","-1.15%"
"04/01/2016","102.18","93.69","104.26","92.43","155.69M","7.11%"
"03/01/2016","95.40","84.12","97.91","83.37","214.77M","14.33%"
"02/01/2016","83.44","85.15","89.84","79.85","234.92M","-3.50%"
"01/01/2016","86.47","89.53","90.11","75.33","280.10M","-3.88%"
"12/01/2015","89.96","90.97","94.00","84.25","261.45M","-1.49%"
"11/01/2015","91.32","90.61","98.64","87.79","176.70M","0.48%"
"10/01/2015","90.88","79.72","91.98","77.31","224.78M","15.21%"
"09/01/2015","78.88","78.76","80.47","74.31","246.19M","-2.61%"
"08/01/2015","80.99","87.28","87.33","69.58","287.93M","-8.47%"
"07/01/2015","88.48","96.30","96.67","88.01","184.58M","-8.28%"
"06/01/2015","96.47","103.47","103.75","96.22","158.81M","-6.34%"
"05/01/2015","103.00","110.28","110.80","102.38","132.87M","-7.26%"
"04/01/2015","111.06","105.77","112.20","104.08","130.04M","5.79%"
"03/01/2015","104.98","106.32","107.69","100.66","170.30M","-1.59%"
"02/01/2015","106.68","103.98","112.93","102.97","148.27M","4.05%"
"01/01/2015","102.53","111.63","113.00","98.88","209.72M","-8.60%"
"12/01/2014","112.18","109.38","114.82","100.15","221.20M","3.04%"
"11/01/2014","108.87","119.83","119.97","108.43","130.62M","-9.24%"
"10/01/2014","119.95","118.80","120.17","106.65","197.29M","0.53%"
"09/01/2014","119.32","129.20","129.38","118.66","130.25M","-7.83%"
"08/01/2014","129.45","127.76","129.53","124.58","91.39M","0.16%"
"07/01/2014","129.24","130.94","135.10","128.03","101.78M","-1.00%"
"06/01/2014","130.55","122.93","133.57","121.72","132.64M","6.32%"
"05/01/2014","122.79","125.66","126.78","121.65","103.89M","-2.17%"
"04/01/2014","125.52","119.15","127.27","116.50","130.41M","5.56%"
"03/01/2014","118.91","114.79","119.62","113.68","131.08M","3.10%"
"02/01/2014","115.33","112.35","116.74","109.27","144.14M","3.31%"
"01/01/2014","111.63","124.46","125.32","111.11","131.44M","-10.63%"
