"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","72.03","72.26","75.08","71.26","37.94M","0.69%"
"09/01/2025","71.53","73.38","73.99","70.43","94.83M","-3.18%"
"08/01/2025","73.88","72.55","74.21","70.80","67.47M","2.31%"
"07/01/2025","72.21","70.68","73.20","69.21","89.55M","2.56%"
"06/01/2025","70.41","67.40","73.16","66.82","109.22M","6.33%"
"05/01/2025","66.22","64.52","67.87","64.31","75.91M","2.70%"
"04/01/2025","64.48","72.75","73.12","58.54","137.97M","-12.01%"
"03/01/2025","73.28","68.42","74.18","65.07","123.00M","8.63%"
"02/01/2025","67.46","65.30","68.49","64.93","65.76M","2.44%"
"01/01/2025","65.85","62.98","67.28","62.80","88.75M","5.11%"
"12/01/2024","62.65","64.67","65.64","60.15","84.81M","-3.23%"
"11/01/2024","64.74","68.01","68.82","64.43","90.54M","-4.16%"
"10/01/2024","67.55","65.65","70.56","65.10","96.62M","2.43%"
"09/01/2024","65.95","69.70","69.84","63.73","97.29M","-7.97%"
"08/01/2024","71.66","73.96","74.46","68.54","74.90M","-2.13%"
"07/01/2024","73.22","72.73","74.02","70.82","66.29M","1.44%"
"06/01/2024","72.18","72.64","72.64","68.56","69.21M","-0.82%"
"05/01/2024","72.78","71.40","74.61","70.16","84.07M","1.56%"
"04/01/2024","71.66","67.04","73.94","66.59","107.44M","6.89%"
"03/01/2024","67.04","63.39","67.79","62.69","72.13M","6.70%"
"02/01/2024","62.83","64.25","64.98","62.03","99.94M","-0.13%"
"01/01/2024","62.91","65.86","67.65","60.34","112.08M","-4.39%"
"12/01/2023","65.80","65.71","66.36","63.03","107.48M","0.00%"
"11/01/2023","65.80","65.51","68.74","64.19","103.28M","1.01%"
"10/01/2023","65.14","64.55","68.72","61.59","142.09M","1.18%"
"09/01/2023","64.38","63.01","65.96","62.47","103.46M","3.69%"
"08/01/2023","62.09","61.22","63.10","59.51","87.60M","0.75%"
"07/01/2023","61.63","61.26","63.69","58.14","95.06M","2.07%"
"06/01/2023","60.38","56.18","61.17","56.03","104.34M","7.82%"
"05/01/2023","56.00","61.46","62.03","55.78","95.00M","-9.65%"
