"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","1,195.75","1,156.89","1,219.94","1,131.38","6.96M","2.56%"
"09/01/2025","1,165.87","1,117.84","1,183.50","1,088.56","11.36M","3.44%"
"08/01/2025","1,127.14","1,089.00","1,171.89","1,077.20","10.11M","1.91%"
"07/01/2025","1,106.01","1,046.58","1,130.66","1,033.77","14.23M","5.41%"
"06/01/2025","1,049.25","975.71","1,054.18","965.00","11.93M","7.08%"
"05/01/2025","979.89","912.96","999.00","905.91","13.31M","7.18%"
"04/01/2025","914.26","945.91","965.96","773.74","19.25M","-3.40%"
"03/01/2025","946.48","979.84","990.79","898.26","21.56M","-3.20%"
"02/01/2025","977.78","1,054.48","1,056.54","942.01","16.82M","-9.09%"
"01/01/2025","1,075.50","1,030.00","1,084.22","943.34","15.97M","4.92%"
"12/01/2024","1,025.11","1,026.55","1,082.45","1,001.97","16.11M","0.23%"
"11/01/2024","1,022.80","984.00","1,068.34","976.05","13.32M","4.26%"
"10/01/2024","981.03","945.32","1,032.00","918.96","11.74M","3.32%"
"09/01/2024","949.51","899.07","952.75","854.16","9.53M","5.29%"
"08/01/2024","901.81","880.00","903.46","813.18","10.53M","2.89%"
"07/01/2024","876.50","790.83","885.10","777.63","13.46M","11.33%"
"06/01/2024","787.32","779.49","806.47","752.29","10.45M","1.98%"
"05/01/2024","772.03","755.00","818.18","748.78","13.08M","2.30%"
"04/01/2024","754.64","834.98","835.12","745.55","15.02M","-9.48%"
"03/01/2024","833.70","811.34","845.00","792.82","11.61M","2.76%"
"02/01/2024","811.34","776.49","823.71","765.63","11.00M","4.78%"
"01/01/2024","774.31","804.15","808.99","768.35","13.99M","-4.62%"
"12/01/2023","811.80","750.00","819.00","742.22","14.33M","8.06%"
"11/01/2023","751.23","614.49","751.89","607.67","13.63M","22.69%"
"10/01/2023","612.28","644.71","651.51","596.18","14.54M","-5.29%"
"09/01/2023","646.49","704.20","709.06","640.31","12.44M","-7.72%"
"08/01/2023","700.54","733.32","735.91","664.61","10.65M","-5.19%"
"07/01/2023","738.85","690.00","757.01","674.80","12.16M","6.90%"
"06/01/2023","691.14","663.57","716.35","660.37","12.63M","5.11%"
"05/01/2023","657.55","675.08","680.69","624.50","15.06M","-2.03%"
"04/01/2023","671.20","664.52","704.01","647.42","10.48M","0.31%"
"03/01/2023","669.12","683.15","698.79","620.00","17.22M","-2.95%"
"02/01/2023","689.43","753.72","781.77","678.58","13.01M","-9.19%"
"01/01/2023","759.21","720.00","764.10","701.21","15.02M","7.14%"
"12/01/2022","708.63","718.85","743.17","683.91","15.13M","-1.03%"
"11/01/2022","716.00","656.74","785.65","622.98","18.99M","10.85%"
"10/01/2022","645.91","555.00","664.98","503.12","19.32M","17.38%"
"09/01/2022","550.28","661.21","701.80","549.56","17.68M","-17.42%"
"08/01/2022","666.39","661.30","763.66","655.48","14.26M","-0.42%"
"07/01/2022","669.18","607.25","674.84","580.23","12.74M","9.87%"
"06/01/2022","609.04","672.68","689.20","575.60","18.11M","-8.97%"
"05/01/2022","669.08","629.71","672.72","582.58","26.79M","7.11%"
"04/01/2022","624.68","768.00","788.65","623.22","17.10M","-18.25%"
"03/01/2022","764.17","740.35","784.48","660.15","20.36M","2.73%"
"02/01/2022","743.89","827.91","831.32","705.37","16.28M","-9.61%"
"01/01/2022","822.94","918.34","927.48","754.05","16.81M","-10.12%"
"12/01/2021","915.56","921.50","933.06","884.33","10.66M","1.21%"
"11/01/2021","904.61","947.19","973.16","896.85","10.73M","-4.12%"
"10/01/2021","943.46","843.20","947.86","818.73","11.57M","12.50%"
"09/01/2021","838.66","945.00","954.85","838.16","10.94M","-11.09%"
"08/01/2021","943.29","873.30","959.89","867.67","8.14M","8.78%"
"07/01/2021","867.17","877.07","920.31","839.69","12.84M","-0.89%"
"06/01/2021","874.97","887.90","890.00","839.01","12.00M","-0.24%"
"05/01/2021","877.04","825.00","888.29","819.00","11.04M","7.05%"
"04/01/2021","819.30","759.78","829.51","757.60","10.57M","8.67%"
"03/01/2021","753.96","706.82","763.42","670.28","15.50M","8.56%"
"02/01/2021","694.50","708.00","737.72","688.31","13.19M","-0.96%"
"01/01/2021","701.26","730.60","788.00","685.69","15.19M","-2.81%"
"12/01/2020","721.54","709.67","722.42","683.46","13.18M","3.32%"
"11/01/2020","698.35","608.96","718.85","606.45","11.80M","16.55%"
"10/01/2020","599.21","576.84","666.64","559.18","13.24M","6.33%"
"09/01/2020","563.55","594.74","609.69","531.39","16.65M","-5.16%"
"08/01/2020","594.19","579.35","605.72","567.93","9.73M","3.34%"
"07/01/2020","575.01","544.29","592.48","537.46","13.06M","5.68%"
"06/01/2020","544.09","528.00","567.58","515.72","20.88M","2.92%"
"05/01/2020","528.64","491.42","550.00","451.35","50.19M","5.30%"
"04/01/2020","502.04","418.11","516.00","401.90","15.88M","14.11%"
"03/01/2020","439.97","467.14","503.98","323.98","32.13M","-4.98%"
"02/01/2020","463.01","530.23","576.81","449.02","14.73M","-12.20%"
"01/01/2020","527.35","510.00","547.35","498.51","13.15M","4.90%"
"12/01/2019","502.70","495.28","506.81","478.68","8.98M","1.57%"
"11/01/2019","494.91","466.36","496.90","466.30","9.09M","7.19%"
"10/01/2019","461.70","445.63","470.79","411.21","12.22M","3.60%"
"09/01/2019","445.64","420.99","449.97","412.12","12.92M","5.46%"
"08/01/2019","422.56","465.19","467.67","403.54","13.82M","-9.65%"
"07/01/2019","467.68","474.88","483.49","465.51","10.28M","-0.35%"
"06/01/2019","469.30","415.71","472.36","415.19","10.57M","12.93%"
"05/01/2019","415.56","486.84","487.45","415.02","10.11M","-14.36%"
"04/01/2019","485.24","431.59","485.85","429.40","11.31M","13.54%"
"03/01/2019","427.37","447.56","451.92","413.30","12.64M","-3.58%"
"02/01/2019","443.22","417.44","444.80","406.13","10.08M","6.78%"
"01/01/2019","415.08","386.28","421.83","377.28","16.44M","5.67%"
"12/01/2018","392.82","436.79","438.26","360.79","17.01M","-8.22%"
"11/01/2018","428.01","413.74","428.01","394.73","15.42M","4.03%"
"10/01/2018","411.42","474.36","482.48","376.31","27.33M","-12.71%"
"09/01/2018","471.33","476.23","492.00","467.30","9.56M","-1.61%"
"08/01/2018","479.06","505.18","509.87","466.01","16.00M","-4.71%"
"07/01/2018","502.76","494.06","513.00","488.01","12.77M","0.75%"
"06/01/2018","499.04","540.65","557.00","497.34","11.92M","-6.59%"
"05/01/2018","534.23","517.97","549.58","500.85","10.28M","2.44%"
"04/01/2018","521.50","537.76","544.58","509.12","13.38M","-3.73%"
"03/01/2018","541.72","548.60","578.80","518.55","11.16M","-1.40%"
"02/01/2018","549.43","561.41","568.48","500.01","13.28M","-2.20%"
"01/01/2018","561.80","518.78","594.52","506.48","14.58M","9.36%"
"12/01/2017","513.71","499.67","520.74","490.73","8.32M","2.50%"
