"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","763.00","794.65","805.17","742.61","23.65M","-4.19%"
"09/01/2025","796.35","736.39","825.25","721.16","37.25M","6.86%"
"08/01/2025","745.25","710.51","753.33","694.05","34.76M","2.99%"
"07/01/2025","723.59","708.00","737.88","691.30","48.02M","2.24%"
"06/01/2025","707.75","598.60","714.30","592.17","42.63M","17.87%"
"05/01/2025","600.45","548.10","620.79","545.50","48.44M","9.66%"
"04/01/2025","547.55","543.25","567.32","439.38","74.60M","0.23%"
"03/01/2025","546.29","622.40","628.78","520.06","63.33M","-12.21%"
"02/01/2025","622.29","626.00","672.19","604.01","47.58M","-2.83%"
"01/01/2025","640.40","579.31","650.00","556.76","53.21M","11.84%"
"12/01/2024","572.62","608.00","611.91","544.49","38.99M","-5.91%"
"11/01/2024","608.57","520.00","612.73","510.51","49.17M","17.53%"
"10/01/2024","517.79","494.58","540.51","484.20","41.89M","4.58%"
"09/01/2024","495.11","507.47","509.70","457.48","39.02M","-2.97%"
"08/01/2024","510.25","510.00","514.02","437.37","44.40M","0.24%"
"07/01/2024","509.03","454.51","517.26","454.01","52.46M","12.54%"
"06/01/2024","452.32","458.87","464.52","439.15","39.21M","-0.92%"
"05/01/2024","456.52","426.69","471.48","425.19","48.55M","6.99%"
"04/01/2024","426.71","416.68","433.33","387.12","54.69M","2.16%"
"03/01/2024","417.69","389.63","419.20","381.42","45.87M","7.36%"
"02/01/2024","389.05","384.43","396.79","375.20","44.35M","1.31%"
"01/01/2024","384.01","383.00","393.91","372.07","52.63M","-0.46%"
"12/01/2023","385.77","341.46","387.76","340.42","44.13M","12.95%"
"11/01/2023","341.54","303.33","344.76","302.84","41.31M","12.49%"
"10/01/2023","303.61","322.03","323.58","289.36","49.10M","-6.17%"
"09/01/2023","323.57","329.67","346.19","318.98","34.26M","-1.26%"
"08/01/2023","327.71","354.00","358.73","318.00","39.26M","-7.91%"
"07/01/2023","355.87","322.41","361.62","312.70","53.40M","10.33%"
"06/01/2023","322.54","324.51","347.73","310.56","54.63M","-0.42%"
"05/01/2023","323.90","344.05","347.46","317.32","40.05M","-5.69%"
"04/01/2023","343.44","326.14","345.06","319.37","41.88M","4.99%"
"03/01/2023","327.11","349.39","358.86","301.87","71.67M","-6.98%"
"02/01/2023","351.65","359.10","379.68","351.33","43.63M","-3.87%"
"01/01/2023","365.81","345.50","374.35","336.16","72.60M","6.53%"
"12/01/2022","343.38","386.50","386.50","339.30","42.48M","-11.08%"
"11/01/2022","386.15","345.13","389.58","342.59","54.13M","12.09%"
"10/01/2022","344.51","297.17","346.18","287.75","50.06M","17.56%"
"09/01/2022","293.05","329.87","344.36","288.62","40.95M","-11.91%"
"08/01/2022","332.67","331.73","358.62","327.22","41.45M","-0.22%"
"07/01/2022","333.39","295.27","335.18","277.84","53.59M","12.24%"
"06/01/2022","297.02","327.00","329.27","278.15","55.86M","-9.13%"
"05/01/2022","326.85","305.81","329.72","293.90","50.85M","6.99%"
"04/01/2022","305.49","333.93","347.35","304.71","60.55M","-7.46%"
"03/01/2022","330.10","337.40","346.77","318.55","68.15M","-3.28%"
"02/01/2022","341.29","356.13","377.40","326.95","55.25M","-3.78%"
"01/01/2022","354.68","389.00","412.66","326.23","86.10M","-7.29%"
"12/01/2021","382.55","383.82","401.75","366.65","54.09M","0.41%"
"11/01/2021","380.99","417.07","426.16","377.26","51.03M","-7.83%"
