"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","306.60","313.52","314.53","294.37","94.54M","-2.80%"
"09/01/2025","315.43","300.26","318.01","291.44","182.56M","4.65%"
"08/01/2025","301.42","290.40","302.95","284.24","148.83M","1.75%"
"07/01/2025","296.24","290.89","301.29","280.31","198.60M","2.18%"
"06/01/2025","289.91","263.02","292.65","260.31","174.37M","9.81%"
"05/01/2025","264.00","242.84","269.52","242.17","165.12M","7.92%"
"04/01/2025","244.62","242.62","247.24","202.16","287.38M","-0.28%"
"03/01/2025","245.30","264.00","266.32","224.23","265.19M","-7.31%"
"02/01/2025","264.65","261.83","280.25","253.35","156.63M","-0.99%"
"01/01/2025","267.30","240.92","270.82","238.74","209.83M","11.51%"
"12/01/2024","239.71","249.55","250.25","229.53","181.27M","-4.01%"
"11/01/2024","249.72","223.56","254.31","219.17","188.85M","12.53%"
"10/01/2024","221.92","208.90","226.75","204.34","178.34M","5.25%"
"09/01/2024","210.86","222.30","224.10","200.61","206.49M","-6.20%"
"08/01/2024","224.80","213.20","225.48","190.90","172.44M","5.64%"
"07/01/2024","212.80","202.84","217.56","202.10","197.46M","5.21%"
"06/01/2024","202.26","202.31","202.60","190.88","174.90M","-0.18%"
"05/01/2024","202.63","192.27","205.88","188.46","195.90M","5.68%"
"04/01/2024","191.74","199.99","200.94","179.20","224.78M","-4.27%"
"03/01/2024","200.30","185.70","200.72","184.27","166.26M","7.65%"
"02/01/2024","186.06","173.64","186.43","171.43","154.74M","6.71%"
"01/01/2024","174.36","169.09","178.30","164.30","231.66M","2.50%"
"12/01/2023","170.10","155.82","170.69","155.82","184.77M","8.98%"
"11/01/2023","156.08","139.25","156.13","138.47","162.20M","12.24%"
"10/01/2023","139.06","144.83","153.11","135.19","244.07M","-4.11%"
"09/01/2023","145.02","146.09","150.25","142.65","172.25M","-0.90%"
"08/01/2023","146.33","157.43","158.00","145.46","169.32M","-7.36%"
"07/01/2023","157.96","146.19","159.38","141.44","231.27M","8.61%"
"06/01/2023","145.44","136.52","146.00","135.45","207.75M","7.17%"
"05/01/2023","135.71","142.26","143.37","131.81","235.31M","-1.83%"
"04/01/2023","138.24","129.91","141.78","126.22","242.87M","6.09%"
"03/01/2023","130.31","142.10","144.04","123.11","458.50M","-9.10%"
"02/01/2023","143.35","138.21","144.34","137.43","169.57M","2.42%"
"01/01/2023","139.96","135.24","143.49","133.55","209.97M","4.37%"
"12/01/2022","134.10","138.18","138.66","128.41","202.05M","-2.95%"
"11/01/2022","138.18","126.87","138.18","125.91","226.63M","9.77%"
"10/01/2022","125.88","105.62","127.43","101.28","318.23M","20.46%"
"09/01/2022","104.50","113.29","121.55","104.40","248.56M","-8.12%"
"08/01/2022","113.73","114.50","124.24","111.02","258.44M","-1.41%"
"07/01/2022","115.36","112.65","116.50","106.06","239.57M","2.44%"
"06/01/2022","112.61","132.87","132.87","110.93","268.24M","-14.84%"
"05/01/2022","132.23","119.88","133.15","115.02","313.63M","10.78%"
"04/01/2022","119.36","137.40","137.41","118.90","303.66M","-12.44%"
"03/01/2022","136.32","140.04","143.93","127.27","390.80M","-3.86%"
"02/01/2022","141.80","148.69","159.03","139.78","288.73M","-4.58%"
"01/01/2022","148.60","159.86","169.81","139.57","374.02M","-6.16%"
"12/01/2021","158.35","161.00","163.39","151.84","252.03M","-0.30%"
"11/01/2021","158.83","172.04","172.33","158.29","203.51M","-6.51%"
"10/01/2021","169.89","164.00","172.96","160.06","231.68M","3.79%"
"09/01/2021","163.69","160.22","169.30","150.49","234.83M","2.34%"
"08/01/2021","159.95","152.03","163.83","149.52","208.09M","5.38%"
"07/01/2021","151.78","156.26","159.16","145.71","280.58M","-2.42%"
"06/01/2021","155.54","165.87","167.44","147.56","356.72M","-5.30%"
"05/01/2021","164.24","154.85","165.70","152.14","248.96M","6.78%"
"04/01/2021","153.81","151.90","157.25","146.68","288.70M","1.04%"
"03/01/2021","152.23","149.52","161.69","147.97","399.42M","3.44%"
"02/01/2021","147.17","129.40","154.90","128.48","229.27M","14.38%"
"01/01/2021","128.67","127.50","142.75","123.77","318.60M","1.26%"
"12/01/2020","127.07","120.34","127.33","118.11","274.17M","7.80%"
"11/01/2020","117.88","99.39","123.50","97.86","333.82M","20.24%"
"10/01/2020","98.04","97.12","104.45","95.09","325.38M","1.84%"
"09/01/2020","96.27","99.55","105.21","91.38","390.73M","-3.91%"
"08/01/2020","100.19","97.02","106.43","95.03","319.81M","3.67%"
"07/01/2020","96.64","94.89","101.29","90.78","432.66M","2.74%"
"06/01/2020","94.06","97.75","115.77","92.00","536.05M","-3.34%"
"05/01/2020","97.31","93.50","102.95","82.40","497.93M","1.62%"
"04/01/2020","95.76","85.10","104.39","82.77","532.02M","6.36%"
"03/01/2020","90.03","116.63","122.95","76.91","734.38M","-22.46%"
"02/01/2020","116.11","132.66","139.29","112.66","240.74M","-12.28%"
"01/01/2020","132.36","139.79","141.10","129.71","248.12M","-5.05%"
"12/01/2019","139.40","132.31","140.08","128.59","213.31M","5.80%"
"11/01/2019","131.76","126.20","132.43","126.02","191.29M","5.48%"
"10/01/2019","124.92","118.40","127.42","110.52","263.39M","6.14%"
"09/01/2019","117.69","108.98","120.40","107.32","230.96M","7.13%"
"08/01/2019","109.86","115.33","116.80","104.34","259.53M","-5.29%"
"07/01/2019","116.00","113.23","117.24","112.15","232.06M","3.76%"
"06/01/2019","111.80","105.80","112.43","105.30","248.21M","5.51%"
"05/01/2019","105.96","115.72","117.00","104.84","230.71M","-8.69%"
"04/01/2019","116.05","102.15","117.15","102.12","252.52M","14.64%"
"03/01/2019","101.23","105.10","108.40","98.09","306.60M","-3.00%"
"02/01/2019","104.36","104.00","107.27","100.06","224.93M","0.83%"
"01/01/2019","103.50","95.95","105.24","95.94","325.93M","6.02%"
"12/01/2018","97.62","112.38","112.89","91.11","425.22M","-12.20%"
"11/01/2018","111.19","109.62","112.93","105.98","283.23M","1.99%"
"10/01/2018","109.02","113.37","116.81","102.73","433.04M","-3.39%"
