"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","250.43","240.64","252.10","235.89","286.02M","3.02%"
"09/01/2025","243.10","208.44","256.00","206.20","829.47M","14.18%"
"08/01/2025","212.91","189.02","214.65","187.82","617.60M","10.95%"
"07/01/2025","191.90","175.74","197.95","172.77","860.11M","8.89%"
"06/01/2025","176.23","167.84","181.23","162.00","847.45M","2.61%"
"05/01/2025","171.74","160.45","176.77","147.84","942.81M","8.15%"
"04/01/2025","158.80","153.62","166.10","140.53","842.65M","2.69%"
"03/01/2025","154.64","171.93","174.97","150.66","732.19M","-9.18%"
"02/01/2025","170.28","200.69","207.05","166.77","629.46M","-16.54%"
"01/01/2025","204.02","190.65","205.48","187.36","500.38M","7.78%"
"12/01/2024","189.30","168.76","201.42","168.57","645.62M","12.04%"
"11/01/2024","168.95","170.07","182.49","163.70","529.99M","-1.26%"
"10/01/2024","171.11","167.68","182.02","159.74","569.36M","3.17%"
"09/01/2024","165.85","161.72","166.15","147.21","532.68M","1.51%"
"08/01/2024","163.38","170.25","174.05","154.93","550.74M","-4.76%"
"07/01/2024","171.54","183.03","191.75","164.06","526.15M","-5.82%"
"06/01/2024","182.15","172.54","186.05","171.16","461.09M","5.59%"
"05/01/2024","172.50","164.30","178.77","163.05","542.41M","5.97%"
"04/01/2024","162.78","150.69","174.71","149.60","659.88M","7.85%"
"03/01/2024","150.93","138.43","152.26","130.66","672.72M","9.01%"
"02/01/2024","138.46","142.12","149.44","135.41","647.51M","-1.17%"
"01/01/2024","140.10","138.55","153.78","135.15","581.87M","0.29%"
"12/01/2023","139.69","131.86","142.68","127.90","620.00M","5.40%"
"11/01/2023","132.53","124.07","139.42","123.71","535.34M","6.81%"
"10/01/2023","124.08","131.21","141.22","120.21","680.76M","-5.18%"
"09/01/2023","130.86","137.46","139.16","127.22","477.63M","-3.90%"
"08/01/2023","136.17","130.77","138.00","126.38","593.52M","2.60%"
"07/01/2023","132.72","119.24","133.74","115.35","707.11M","10.88%"
"06/01/2023","119.70","122.82","129.04","116.10","656.88M","-2.58%"
"05/01/2023","122.87","106.84","126.43","103.71","820.61M","14.47%"
"04/01/2023","107.34","102.39","109.17","101.93","604.11M","3.48%"
"03/01/2023","103.73","89.98","106.59","89.42","860.05M","15.18%"
"02/01/2023","90.06","98.71","108.18","88.57","952.71M","-8.88%"
"01/01/2023","98.84","89.58","100.32","84.86","672.90M","12.03%"
"12/01/2022","88.23","101.02","102.25","85.94","602.72M","-12.63%"
"11/01/2022","100.99","95.45","101.04","83.34","716.54M","6.86%"
"10/01/2022","94.51","96.76","104.82","91.80","681.65M","-1.19%"
"09/01/2022","95.65","108.28","111.62","95.56","613.29M","-11.62%"
"08/01/2022","108.22","115.30","122.43","107.80","515.88M","-6.96%"
"07/01/2022","116.32","107.93","119.68","104.07","789.63M","6.75%"
"06/01/2022","108.96","114.86","119.35","105.05","770.87M","-4.22%"
"05/01/2022","113.76","113.40","122.85","101.88","850.45M","-0.30%"
"04/01/2022","114.11","139.50","143.71","112.74","761.18M","-17.95%"
"03/01/2022","139.07","134.88","143.79","125.28","729.20M","2.97%"
"02/01/2022","135.06","137.59","151.55","124.95","928.15M","-0.18%"
"01/01/2022","135.30","145.05","146.48","124.50","767.40M","-6.59%"
"12/01/2021","144.85","144.00","149.10","139.32","620.40M","2.08%"
"11/01/2021","141.90","148.05","150.97","141.60","608.46M","-4.15%"
"10/01/2021","148.05","134.45","148.65","131.05","720.80M","10.75%"
"09/01/2021","133.68","145.00","146.25","133.56","590.91M","-7.62%"
"08/01/2021","144.70","135.12","145.97","133.32","461.62M","7.40%"
"07/01/2021","134.73","121.72","138.30","121.53","610.84M","10.35%"
"06/01/2021","122.09","118.72","123.10","116.48","544.96M","3.60%"
"05/01/2021","117.84","118.25","119.45","109.68","603.50M","0.14%"
"04/01/2021","117.68","104.61","121.57","104.57","702.40M","14.11%"
"03/01/2021","103.13","102.40","105.69","99.70","756.76M","2.01%"
"02/01/2021","101.10","92.23","107.26","92.23","678.36M","10.65%"
"01/01/2021","91.37","88.00","96.60","84.81","791.71M","4.26%"
"12/01/2020","87.63","88.33","92.19","84.70","608.67M","-0.10%"
"11/01/2020","87.72","81.18","90.84","80.61","632.00M","8.56%"
"10/01/2020","80.81","74.18","84.07","71.66","855.06M","10.27%"
"09/01/2020","73.28","81.61","86.31","70.11","836.69M","-10.06%"
"08/01/2020","81.48","74.55","82.64","73.20","614.67M","9.52%"
"07/01/2020","74.40","70.96","79.35","70.71","823.14M","4.93%"
"06/01/2020","70.90","71.29","73.79","67.58","814.32M","-1.08%"
"05/01/2020","71.68","66.20","72.26","64.80","725.27M","6.45%"
"04/01/2020","67.33","56.20","68.01","53.75","1.12B","15.90%"
"03/01/2020","58.10","67.57","70.41","50.44","1.57B","-13.24%"
"02/01/2020","66.96","73.08","76.54","63.41","831.30M","-6.53%"
"01/01/2020","71.64","67.42","75.03","67.32","674.01M","6.97%"
"12/01/2019","66.97","65.13","68.35","63.85","565.60M","2.71%"
"11/01/2019","65.20","63.29","66.70","62.99","527.19M","3.60%"
"10/01/2019","62.94","61.12","64.96","58.16","622.54M","3.08%"
"09/01/2019","61.06","59.09","62.40","58.19","525.49M","2.57%"
"08/01/2019","59.53","60.88","61.81","57.14","587.06M","-2.27%"
"07/01/2019","60.91","55.05","63.42","54.77","715.27M","12.50%"
"06/01/2019","54.14","53.35","56.33","51.35","712.48M","-2.14%"
"05/01/2019","55.33","59.88","59.96","55.17","742.74M","-7.71%"
"04/01/2019","59.95","59.38","64.85","59.15","647.50M","1.88%"
"03/01/2019","58.84","56.55","61.82","56.51","663.72M","4.47%"
"02/01/2019","56.33","56.11","57.70","54.68","652.20M","0.06%"
"01/01/2019","56.29","51.36","56.38","51.12","697.20M","7.74%"
"12/01/2018","52.25","56.61","56.75","48.88","857.40M","-5.83%"
"11/01/2018","55.48","54.57","55.50","50.11","786.27M","1.75%"
"10/01/2018","54.53","60.65","61.23","50.36","1.13B","-9.65%"
"09/01/2018","60.35","61.13","61.39","57.58","718.54M","-2.01%"
"08/01/2018","61.59","61.96","63.60","60.20","685.97M","0.37%"
"07/01/2018","61.36","55.77","64.57","55.33","836.12M","8.68%"
"06/01/2018","56.46","55.64","60.07","55.30","803.69M","2.65%"
"05/01/2018","55.00","50.81","55.91","50.39","740.73M","7.99%"
"04/01/2018","50.93","51.38","54.88","49.71","985.04M","-1.79%"
"03/01/2018","51.86","55.48","58.91","49.20","1.04B","-6.05%"
"02/01/2018","55.20","58.80","59.37","49.85","1.03B","-6.62%"
"01/01/2018","59.11","52.65","59.90","52.65","657.75M","12.23%"
"12/01/2017","52.67","51.52","54.32","50.12","598.81M","1.66%"
"11/01/2017","51.81","51.82","54.00","51.43","573.75M","0.30%"
"10/01/2017","51.65","48.78","53.18","48.10","737.09M","6.09%"
"09/01/2017","48.69","47.87","48.79","46.23","592.59M","1.93%"
"08/01/2017","47.76","47.39","47.86","45.93","655.52M","1.03%"
"07/01/2017","47.28","46.66","50.31","45.77","838.37M","1.70%"
"06/01/2017","46.48","49.55","50.43","46.48","881.70M","-5.82%"
"05/01/2017","49.35","46.21","49.98","46.04","707.40M","6.77%"
"04/01/2017","46.23","42.44","46.79","41.73","574.43M","9.05%"
"03/01/2017","42.39","42.57","43.72","41.22","691.06M","0.34%"
"02/01/2017","42.25","41.20","42.69","40.60","529.84M","3.02%"
"01/01/2017","41.01","40.03","43.35","39.84","736.81M","3.50%"
"12/01/2016","39.62","38.93","41.22","37.67","687.13M","2.14%"
"11/01/2016","38.79","40.54","40.80","37.18","967.07M","-4.20%"
"10/01/2016","40.49","40.13","41.95","39.81","707.83M","0.73%"
"09/01/2016","40.20","39.60","40.95","39.17","631.54M","1.80%"
"08/01/2016","39.49","39.33","40.69","39.25","577.14M","-0.19%"
"07/01/2016","39.57","35.26","40.20","34.95","653.35M","12.48%"
"06/01/2016","35.18","37.42","37.57","33.63","839.58M","-6.05%"
"05/01/2016","37.44","35.60","37.67","35.20","682.16M","5.79%"
"04/01/2016","35.39","37.86","39.55","35.16","933.24M","-7.21%"
"03/01/2016","38.15","36.06","38.87","35.20","853.39M","6.37%"
