"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2006","26.97","26.77","27.08","26.77","57.98M","0.48%"
"01/03/2006","26.84","26.25","27.00","26.10","79.97M","2.64%"
"12/30/2005","26.15","26.15","26.31","26.10","49.05M","-0.46%"
"12/29/2005","26.27","26.41","26.50","26.26","34.50M","-0.45%"
"12/28/2005","26.39","26.51","26.66","26.35","37.24M","-0.26%"
"12/27/2005","26.46","26.68","26.85","26.45","37.82M","-0.68%"
"12/23/2005","26.64","26.52","26.67","26.44","30.69M","0.19%"
"12/22/2005","26.59","26.71","26.78","26.42","91.31M","-0.52%"
"12/21/2005","26.73","26.87","26.91","26.71","75.80M","-0.48%"
"12/20/2005","26.86","26.76","26.88","26.67","62.96M","0.11%"
"12/19/2005","26.83","26.82","26.87","26.65","68.69M","-0.26%"
"12/16/2005","26.90","26.88","27.08","26.81","88.54M","-0.07%"
"12/15/2005","26.92","27.08","27.11","26.81","79.03M","-0.63%"
"12/14/2005","27.09","27.00","27.24","26.85","65.08M","-0.15%"
"12/13/2005","27.13","27.29","27.43","27.00","104.29M","-1.17%"
"12/12/2005","27.45","27.70","27.75","27.33","63.76M","-0.94%"
"12/09/2005","27.71","27.71","27.83","27.64","48.49M","0.07%"
"12/08/2005","27.69","27.71","27.81","27.60","63.93M","-0.22%"
"12/07/2005","27.75","27.67","27.75","27.55","55.58M","0.22%"
"12/06/2005","27.69","27.90","27.92","27.68","65.98M","-0.57%"
"12/05/2005","27.85","27.93","28.02","27.71","47.94M","-0.57%"
"12/02/2005","28.01","27.82","28.10","27.79","42.32M","0.43%"
"12/01/2005","27.89","27.73","28.10","27.73","61.01M","0.76%"
"11/30/2005","27.68","27.66","27.77","27.63","55.90M","0.00%"
"11/29/2005","27.68","27.79","27.79","27.60","62.22M","-0.25%"
"11/28/2005","27.75","27.79","27.85","27.53","57.52M","-0.04%"
"11/25/2005","27.76","27.80","27.94","27.46","44.08M","-0.57%"
"11/23/2005","27.92","27.92","28.09","27.74","70.54M","0.04%"
"11/22/2005","27.91","28.06","28.08","27.86","104.30M","-0.89%"
"11/21/2005","28.16","28.07","28.24","27.50","65.79M","0.32%"
"11/18/2005","28.07","28.12","28.25","27.90","75.43M","0.36%"
"11/17/2005","27.97","27.85","28.00","27.76","91.35M","0.83%"
"11/16/2005","27.74","27.48","27.88","27.44","86.28M","0.87%"
"11/15/2005","27.50","27.33","27.54","27.25","65.08M","0.55%"
"11/14/2005","27.35","27.36","27.44","27.20","67.15M","0.26%"
"11/11/2005","27.28","27.15","27.39","27.13","51.95M","0.70%"
"11/10/2005","27.09","26.94","27.15","26.64","73.31M","0.48%"
"11/09/2005","26.96","26.98","27.15","26.94","59.56M","-0.33%"
"11/08/2005","27.05","26.93","27.18","26.77","60.09M","0.15%"
"11/07/2005","27.01","26.72","27.08","26.70","77.10M","1.31%"
"11/04/2005","26.66","26.53","26.71","26.45","57.46M","0.83%"
"11/03/2005","26.44","26.60","26.64","26.25","73.42M","-0.08%"
"11/02/2005","26.46","25.93","26.50","25.93","75.43M","1.93%"
"11/01/2005","25.96","25.61","26.10","25.61","71.45M","1.01%"
"10/31/2005","25.70","25.61","25.80","25.50","75.58M","0.67%"
"10/28/2005","25.53","25.10","25.60","25.10","108.73M","2.74%"
"10/27/2005","24.85","25.22","25.26","24.85","62.91M","-1.04%"
"10/26/2005","25.11","24.97","25.33","24.93","58.26M","0.32%"
"10/25/2005","25.03","24.95","25.13","24.83","41.42M","-0.28%"
"10/24/2005","25.10","24.89","25.10","24.68","52.61M","1.29%"
"10/21/2005","24.78","24.91","25.00","24.57","69.44M","-0.04%"
"10/20/2005","24.79","25.05","25.13","24.74","58.85M","-1.20%"
"10/19/2005","25.09","24.56","25.09","24.50","66.61M","2.12%"
"10/18/2005","24.57","24.49","24.83","24.45","69.64M","0.16%"
"10/17/2005","24.53","24.68","24.69","24.44","46.93M","-0.57%"
"10/14/2005","24.67","24.71","24.73","24.50","53.87M","0.33%"
"10/13/2005","24.59","24.31","25.59","24.27","70.19M","1.19%"
"10/12/2005","24.30","24.49","24.70","24.27","71.40M","-0.45%"
"10/11/2005","24.41","24.51","24.55","24.25","76.59M","-0.20%"
"10/10/2005","24.46","24.67","24.68","24.35","48.89M","-0.53%"
"10/07/2005","24.59","24.77","24.84","24.52","50.79M","-0.57%"
"10/06/2005","24.73","24.66","24.95","24.53","81.73M","0.24%"
"10/05/2005","24.67","25.04","25.05","24.67","73.70M","-1.24%"
"10/04/2005","24.98","25.36","25.39","24.75","151.67M","-2.04%"
"10/03/2005","25.50","25.71","25.73","25.44","55.35M","-0.89%"
"09/30/2005","25.73","25.91","25.95","25.61","57.66M","-0.81%"
"09/29/2005","25.94","25.61","26.00","25.50","66.81M","1.05%"
"09/28/2005","25.67","25.39","25.87","25.38","71.02M","1.30%"
"09/27/2005","25.34","25.37","25.45","25.30","48.82M","0.28%"
"09/26/2005","25.27","25.40","25.49","25.21","56.21M","0.00%"
"09/23/2005","25.27","25.31","25.54","25.12","66.40M","-0.28%"
"09/22/2005","25.34","25.49","25.60","25.15","71.32M","-0.59%"
"09/21/2005","25.49","25.80","25.90","25.43","68.29M","-1.35%"
"09/20/2005","25.84","26.07","26.22","25.69","61.13M","-0.62%"
"09/19/2005","26.00","26.09","26.27","25.86","61.85M","-0.27%"
"09/16/2005","26.07","26.34","26.40","25.97","191.49M","-0.76%"
"09/15/2005","26.27","26.37","26.43","26.22","60.37M","-0.15%"
"09/14/2005","26.31","26.52","26.64","26.30","54.97M","-0.64%"
"09/13/2005","26.48","26.54","26.76","26.37","63.42M","-0.49%"
"09/12/2005","26.61","26.62","26.75","26.52","40.71M","0.11%"
"09/09/2005","26.58","26.62","26.82","26.53","41.56M","-0.11%"
"09/08/2005","26.61","26.80","26.88","26.52","52.55M","-0.89%"
"09/07/2005","26.85","26.94","27.11","26.82","44.68M","-0.56%"
"09/06/2005","27.00","27.06","27.29","26.98","46.09M","-0.07%"
"09/02/2005","27.02","27.21","27.27","26.97","52.05M","-0.66%"
"09/01/2005","27.20","27.38","27.39","27.15","75.97M","-0.66%"
"08/31/2005","27.38","27.17","27.44","27.04","65.21M","0.74%"
"08/30/2005","27.18","27.06","27.23","26.96","55.17M","0.11%"
"08/29/2005","27.15","26.81","27.23","26.81","52.31M","0.67%"
"08/26/2005","26.97","27.06","27.08","26.87","36.77M","-0.22%"
"08/25/2005","27.03","26.90","27.09","26.85","39.31M","0.82%"
"08/24/2005","26.81","26.84","27.16","26.78","63.82M","-0.22%"
"08/23/2005","26.87","26.84","27.07","26.74","48.32M","-0.15%"
"08/22/2005","26.91","26.79","27.17","26.77","41.74M","0.71%"
"08/19/2005","26.72","26.85","26.91","26.70","36.06M","-0.37%"
"08/18/2005","26.82","26.89","27.08","26.80","40.88M","-0.48%"
"08/17/2005","26.95","26.82","27.15","26.66","52.60M","0.79%"
"08/16/2005","26.74","27.03","27.14","26.70","47.11M","-1.44%"
"08/15/2005","27.13","26.98","27.30","26.69","46.01M","0.30%"
"08/12/2005","27.05","27.08","27.14","26.90","53.92M","-0.81%"
"08/11/2005","27.27","26.98","27.30","26.89","48.97M","1.19%"
"08/10/2005","26.95","27.41","27.50","26.85","64.56M","-1.46%"
"08/09/2005","27.35","27.22","27.51","27.01","65.46M","0.81%"
"08/08/2005","27.13","27.80","27.84","27.08","77.44M","-2.27%"
"08/05/2005","27.76","27.29","27.94","27.25","82.26M","1.61%"
"08/04/2005","27.32","27.16","27.50","27.05","92.13M","0.26%"
"08/03/2005","27.25","26.76","27.43","26.73","140.17M","1.64%"
"08/02/2005","26.81","25.90","26.90","25.87","137.70M","3.43%"
"08/01/2005","25.92","25.81","26.05","25.76","61.39M","1.21%"
"07/29/2005","25.61","25.78","26.00","25.59","60.05M","-0.54%"
"07/28/2005","25.75","25.75","25.85","25.66","45.16M","0.12%"
"07/27/2005","25.72","25.61","25.80","25.53","58.16M","0.70%"
"07/26/2005","25.54","25.72","25.74","25.53","54.66M","-0.58%"
"07/25/2005","25.69","25.69","25.90","25.65","45.22M","0.04%"
"07/22/2005","25.68","25.99","26.34","25.63","99.89M","-2.87%"
"07/21/2005","26.44","26.30","26.48","26.19","114.38M","0.95%"
"07/20/2005","26.19","26.00","26.23","25.88","72.31M","0.11%"
"07/19/2005","26.16","25.79","26.25","25.75","113.54M","2.39%"
"07/18/2005","25.55","25.71","25.79","25.55","39.73M","-0.93%"
"07/15/2005","25.79","26.04","26.10","25.75","56.69M","-0.69%"
"07/14/2005","25.97","25.79","26.10","25.79","69.55M","1.21%"
"07/13/2005","25.66","25.53","25.75","25.48","45.38M","0.20%"
"07/12/2005","25.61","25.24","25.62","25.20","63.54M","1.27%"
"07/11/2005","25.29","25.15","25.38","25.11","61.74M","0.80%"
"07/08/2005","25.09","24.64","25.12","24.63","56.12M","1.78%"
"07/07/2005","24.65","24.58","24.71","24.50","80.78M","-0.20%"
"07/06/2005","24.70","24.96","25.08","24.69","64.47M","-1.12%"
"07/05/2005","24.98","24.66","25.19","24.62","62.04M","1.09%"
"07/01/2005","24.71","24.85","24.99","24.67","69.79M","-0.52%"
"06/30/2005","24.84","25.06","25.14","24.82","82.03M","-1.00%"
"06/29/2005","25.09","25.22","25.32","25.00","56.33M","0.08%"
"06/28/2005","25.07","25.09","25.20","25.03","53.12M","0.08%"
"06/27/2005","25.05","25.07","25.25","25.03","62.10M","0.04%"
"06/24/2005","25.04","25.22","25.40","25.03","66.76M","-1.07%"
"06/23/2005","25.31","25.17","25.62","25.15","105.34M","0.96%"
"06/22/2005","25.07","25.11","25.26","25.03","61.69M","-0.32%"
"06/21/2005","25.15","25.08","25.19","25.04","81.10M","0.16%"
"06/20/2005","25.11","24.98","25.28","24.93","50.86M","0.28%"
"06/17/2005","25.04","25.19","25.29","24.92","92.04M","0.00%"
"06/16/2005","25.04","25.22","25.23","24.95","67.09M","-0.87%"
"06/15/2005","25.26","25.40","25.41","25.11","52.29M","-0.39%"
"06/14/2005","25.36","25.31","25.44","25.24","45.47M","0.20%"
"06/13/2005","25.31","25.36","25.49","25.26","49.11M","-0.47%"
"06/10/2005","25.43","25.49","25.52","25.34","39.50M","-0.31%"
"06/09/2005","25.51","25.40","25.61","25.35","56.26M","0.43%"
"06/08/2005","25.40","25.55","25.62","25.34","45.76M","-0.43%"
"06/07/2005","25.51","25.33","25.83","25.31","54.58M","0.55%"
"06/06/2005","25.37","25.38","25.50","25.31","40.77M","-0.24%"
"06/03/2005","25.43","25.70","25.81","25.34","79.68M","-1.40%"
"06/02/2005","25.79","25.71","25.86","25.64","27.25M","-0.19%"
"06/01/2005","25.84","25.73","26.00","25.61","55.09M","0.16%"
"05/31/2005","25.80","25.99","26.03","25.75","46.45M","-1.04%"
"05/27/2005","26.07","25.83","26.09","25.81","54.98M","0.66%"
"05/26/2005","25.90","25.75","26.00","25.73","50.59M","0.74%"
"05/25/2005","25.71","25.68","25.77","25.50","36.95M","-0.16%"
"05/24/2005","25.75","25.80","25.88","25.72","61.46M","-0.39%"
"05/23/2005","25.85","25.74","26.07","25.74","75.57M","0.43%"
"05/20/2005","25.74","25.88","25.92","25.73","64.49M","-0.69%"
"05/19/2005","25.92","25.75","26.05","25.70","52.19M","0.86%"
"05/18/2005","25.70","25.50","25.84","25.42","71.26M","0.94%"
"05/17/2005","25.46","25.31","25.50","25.25","40.12M","-0.12%"
"05/16/2005","25.49","25.23","25.50","25.19","50.71M","0.75%"
"05/13/2005","25.30","25.03","25.38","24.99","77.43M","1.20%"
"05/12/2005","25.00","24.84","25.11","24.83","74.57M","0.36%"
"05/11/2005","24.91","24.89","24.97","24.64","59.53M","0.04%"
"05/10/2005","24.90","25.04","25.08","24.82","62.63M","-0.84%"
"05/09/2005","25.11","25.23","25.33","25.05","61.88M","-0.44%"
"05/06/2005","25.22","25.33","25.48","25.19","64.34M","-0.04%"
"05/05/2005","25.23","25.21","25.33","25.08","59.39M","0.08%"
"05/04/2005","25.21","25.34","25.40","25.11","87.08M","-0.59%"
"05/03/2005","25.36","25.13","25.40","25.09","68.18M","0.52%"
"05/02/2005","25.23","25.23","25.36","24.95","54.44M","-0.28%"
"04/29/2005","25.30","24.88","25.30","24.79","98.85M","3.48%"
"04/28/2005","24.45","24.82","24.92","24.44","84.76M","-2.16%"
"04/27/2005","24.99","24.66","25.15","24.63","47.79M","0.93%"
"04/26/2005","24.76","24.95","25.25","24.74","60.95M","-0.92%"
"04/25/2005","24.99","25.07","25.28","24.86","75.54M","0.04%"
"04/22/2005","24.98","25.05","25.25","24.78","80.23M","-1.19%"
"04/21/2005","25.28","24.48","25.39","24.47","93.95M","3.95%"
"04/20/2005","24.32","24.66","24.70","24.30","92.60M","-1.26%"
"04/19/2005","24.63","24.71","24.80","24.45","66.19M","-0.08%"
"04/18/2005","24.65","24.45","24.84","24.40","75.77M","0.78%"
"04/15/2005","24.46","24.58","24.90","24.41","100.58M","-1.53%"
"04/14/2005","24.84","25.01","25.14","24.83","67.41M","-0.80%"
"04/13/2005","25.04","25.23","25.45","24.99","60.98M","-1.11%"
"04/12/2005","25.32","24.92","25.35","24.80","67.72M","1.40%"
"04/11/2005","24.97","25.03","25.11","24.86","48.20M","0.12%"
"04/08/2005","24.94","25.08","25.25","24.91","47.96M","-0.64%"
"04/07/2005","25.10","24.66","25.13","24.63","77.56M","1.74%"
"04/06/2005","24.67","24.47","24.94","24.45","78.13M","0.82%"
"04/05/2005","24.47","24.22","24.50","24.12","73.67M","0.99%"
"04/04/2005","24.23","24.11","24.26","23.94","62.24M","0.46%"
"04/01/2005","24.12","24.24","24.35","24.10","64.80M","-0.21%"
"03/31/2005","24.17","24.24","24.31","24.12","62.45M","0.04%"
"03/30/2005","24.16","24.04","24.19","24.00","59.84M","1.00%"
"03/29/2005","23.92","24.14","24.24","23.82","74.68M","-1.16%"
"03/28/2005","24.20","24.40","24.47","24.18","50.01M","-0.33%"
"03/24/2005","24.28","24.24","24.47","24.20","79.04M","0.41%"
"03/23/2005","24.18","23.99","24.39","23.96","79.46M","0.79%"
"03/22/2005","23.99","24.19","24.27","23.96","102.43M","-0.87%"
"03/21/2005","24.20","24.35","24.36","24.15","71.62M","-0.45%"
"03/18/2005","24.31","24.53","24.91","24.28","158.39M","-0.94%"
"03/17/2005","24.54","24.64","24.68","24.53","60.61M","-0.37%"
"03/16/2005","24.63","24.82","24.97","24.56","75.01M","-1.12%"
"03/15/2005","24.91","25.10","25.24","24.89","71.68M","-0.80%"
"03/14/2005","25.11","25.08","25.15","24.96","65.55M","0.08%"
"03/11/2005","25.09","25.45","25.48","25.06","60.62M","-1.34%"
"03/10/2005","25.43","25.43","25.48","25.25","59.14M","0.47%"
"03/09/2005","25.31","25.39","25.57","25.28","62.99M","-0.35%"
"03/08/2005","25.40","25.40","25.62","25.34","52.92M","-0.27%"
"03/07/2005","25.47","25.17","25.79","25.16","80.51M","1.19%"
"03/04/2005","25.17","25.21","25.30","25.13","63.06M","0.00%"
"03/03/2005","25.17","25.30","25.31","25.14","52.19M","-0.36%"
"03/02/2005","25.26","25.19","25.48","25.16","67.74M","-0.08%"
"03/01/2005","25.28","25.19","25.41","25.13","56.68M","0.48%"
"02/28/2005","25.16","25.22","25.37","25.13","82.78M","-0.36%"
"02/25/2005","25.25","25.33","25.38","25.15","62.48M","-0.47%"
"02/24/2005","25.37","25.18","25.44","25.15","85.45M","0.67%"
"02/23/2005","25.20","25.24","25.35","25.17","83.69M","-0.12%"
"02/22/2005","25.23","25.25","25.49","25.20","96.50M","-0.98%"
"02/18/2005","25.48","25.64","25.65","25.40","77.09M","-0.66%"
"02/17/2005","25.65","25.71","25.86","25.60","67.18M","-0.54%"
"02/16/2005","25.79","25.87","25.93","25.67","57.53M","-0.54%"
"02/15/2005","25.93","26.00","26.08","25.86","76.62M","-0.31%"
"02/14/2005","26.01","25.93","26.12","25.91","58.93M","0.15%"
"02/11/2005","25.97","26.03","26.12","25.81","84.00M","-0.35%"
"02/10/2005","26.06","26.10","26.13","26.00","71.90M","-0.04%"
"02/09/2005","26.07","26.25","26.31","26.04","81.09M","-0.65%"
"02/08/2005","26.24","26.19","26.34","26.16","61.43M","0.31%"
"02/07/2005","26.16","26.27","26.30","26.06","57.88M","-0.61%"
"02/04/2005","26.32","26.17","26.37","26.14","61.26M","0.53%"
"02/03/2005","26.18","26.37","26.40","26.10","62.65M","-1.06%"
"02/02/2005","26.46","26.42","26.50","26.28","80.40M","0.27%"
"02/01/2005","26.39","26.25","26.43","26.22","58.11M","0.42%"
"01/31/2005","26.28","26.35","26.52","26.16","72.02M","0.38%"
"01/28/2005","26.18","26.54","26.65","25.96","110.51M","0.27%"
"01/27/2005","26.11","25.95","26.16","25.85","94.03M","0.38%"
"01/26/2005","26.01","26.08","26.17","25.90","64.99M","-0.04%"
"01/25/2005","26.02","25.76","26.19","25.75","67.60M","1.36%"
